Generation,AverageFitness
0,8.98
1,9.03
2,9.10
3,9.09
4,8.98
5,9.12
6,8.92
7,8.92
8,9.01
9,8.94
10,8.91
11,9.00
12,8.97
13,8.99
14,9.05
15,8.99
16,8.97
17,8.97
18,9.02
19,9.07
20,9.07
21,9.03
22,8.93
23,8.92
24,9.02
25,8.93
26,8.93
27,9.01
28,9.03
29,8.94
30,8.95
31,9.02
32,8.97
33,8.91
34,9.08
35,9.01
36,8.99
37,8.97
38,9.07
39,8.94
40,8.98
41,8.96
42,8.95
43,8.99
44,9.02
45,9.00
46,9.00
47,8.98
48,8.94
49,9.02
50,9.00
51,8.94
52,9.03
53,8.98
54,8.98
55,8.98
56,8.99
57,9.02
58,9.01
59,9.04
60,9.06
61,9.01
62,8.94
63,8.91
64,9.03
65,9.06
66,9.05
67,8.98
68,8.95
69,8.94
70,9.13
71,8.94
72,9.03
73,8.95
74,9.11
75,8.93
76,8.96
77,9.04
78,9.01
79,8.97
80,9.04
81,9.06
82,9.00
83,8.99
84,8.96
85,8.99
86,9.02
87,9.03
88,8.98
89,8.92
90,9.08
91,8.98
92,9.04
93,9.01
94,8.94
95,9.01
96,9.00
97,9.04
98,8.94
99,9.00
100,9.00
101,8.96
102,8.97
103,8.96
104,8.98
105,8.99
106,9.00
107,9.05
108,9.03
109,9.01
110,9.00
111,8.98
112,8.95
113,9.00
114,8.97
115,8.96
116,8.99
117,8.97
118,9.00
119,8.98
120,9.03
121,9.03
122,9.08
123,9.06
124,8.98
125,8.93
126,9.01
127,9.08
128,9.02
129,8.95
130,8.93
131,8.97
132,8.92
133,9.06
134,8.94
135,9.06
136,9.01
137,9.01
138,8.97
139,8.99
140,8.94
141,9.04
142,9.00
143,9.01
144,8.98
145,9.02
146,8.98
147,9.03
148,8.99
149,8.92
150,9.00
151,8.99
152,9.03
153,9.02
154,8.95
155,8.91
156,8.85
157,9.04
158,9.04
159,8.90
160,8.96
161,9.00
162,8.89
163,9.05
164,8.92
165,9.07
166,8.88
167,9.08
168,8.97
169,9.09
170,9.01
171,8.95
172,8.95
173,9.00
174,9.00
175,9.04
176,8.94
177,9.00
178,8.98
179,8.99
180,8.91
181,8.96
182,9.04
183,8.94
184,9.03
185,9.06
186,8.92
187,8.99
188,9.00
189,8.98
190,9.09
191,9.08
192,9.00
193,8.96
194,9.02
195,9.06
196,8.93
197,9.06
198,9.02
199,9.07
200,9.04
201,9.08
202,8.98
203,9.03
204,9.04
205,8.97
206,9.06
207,9.07
208,9.03
209,9.00
210,8.95
211,9.05
212,8.95
213,9.05
214,8.95
215,8.94
216,9.01
217,9.06
218,8.96
219,8.94
220,8.98
221,9.09
222,8.94
223,9.11
224,9.00
225,9.02
226,8.94
227,9.04
228,9.01
229,8.98
230,9.01
231,9.12
232,9.01
233,9.03
234,8.96
235,9.14
236,8.96
237,9.03
238,8.97
239,8.94
240,8.98
241,9.06
242,8.96
243,8.97
244,9.02
245,8.95
246,8.98
247,9.00
248,9.08
249,8.90
250,8.95
251,8.92
252,9.04
253,8.93
254,8.87
255,8.96
256,9.02
257,9.04
258,9.01
259,9.03
260,8.93
261,8.99
262,9.04
263,9.00
264,9.02
265,8.99
266,9.03
267,9.03
268,8.92
269,8.96
270,8.91
271,8.93
272,8.97
273,9.01
274,9.02
275,8.95
276,9.04
277,9.06
278,8.92
279,9.04
280,9.00
281,9.01
282,9.03
283,8.96
284,9.01
285,8.94
286,9.01
287,8.93
288,9.06
289,9.06
290,9.03
291,8.95
292,8.95
293,9.04
294,8.93
295,8.98
296,9.15
297,9.11
298,8.94
299,9.08
300,8.94
301,8.98
302,9.02
303,8.99
304,8.95
305,8.96
306,9.04
307,8.97
308,8.97
309,9.02
310,9.04
311,8.98
312,8.94
313,8.91
314,9.00
315,9.01
316,9.03
